zones avg_wall_time avg_gpu_time overhead cycles
110,26.763276,26.763244,0.000032,1195162255717540
120,52.682736,52.682695,0.000041,2377930929649980
210,53.489088,53.489059,0.000029,2378162482913720
220,53.552834,53.552805,0.000029,1195475682329020
230,79.141317,79.141289,0.000028,2378111697237680
320,79.327411,79.327391,0.000020,1195520113657220
330,80.238078,80.238078,0.000000,2381714480123160
340,106.077341,106.077320,0.000021,2349173000209000
430,105.985762,105.985742,0.000020,1196279591656020
440,106.674135,106.674125,0.000010,2377076875007240
450,131.951559,131.951547,0.000012,2364962424903080
540,133.263339,133.263313,0.000026,2379004642208580
550,133.142009,133.141984,0.000025,2377680312524280
560,158.530284,158.530313,-0.000029,2379455717571600
650,158.538698,158.538688,0.000010,2379529125091580
660,158.852144,158.852125,0.000019,2379524435510660
670,185.238337,185.238328,0.000009,2378756012556600
760,185.740662,185.740672,-0.000010,2379643100406120
770,185.912579,185.912578,0.000001,2378386704818220
780,210.143169,210.143188,-0.000019,2377928404619940
870,212.876255,212.876234,0.000021,1046062016356040
880,213.446754,213.446766,-0.000012,1197112900012220
890,236.867150,236.867125,0.000025,2379871077503340
980,238.443685,238.443656,0.000029,2378327929184140
990,239.625898,239.625797,0.000101,2380052406125680
1000,262.899143,262.899125,0.000018,2209055037558880
